Month,Bicycle theft,Criminal damage and arson,Other theft,Violence and sexual offences,Public order,Anti-social behaviour,Burglary,Vehicle crime,Shoplifting,Drugs,Possession of weapons,Other crime,Theft from the person,Robbery
2020-03,21,133,97,318,82,206,125,99,40,23,11,10,9,4
2020-04,18,102,51,309,66,246,46,75,34,30,5,11,1,2
2020-05,19,95,61,375,84,230,36,77,33,43,8,20,3,1
2020-06,28,128,88,370,88,256,64,75,24,31,5,23,4,5
2020-07,16,131,84,478,115,283,60,75,23,30,7,19,3,4
2020-08,20,124,100,433,95,274,87,86,27,16,8,28,11,5
2020-09,36,108,83,394,93,250,91,60,28,12,5,23,3,4
2020-10,30,128,88,381,106,247,112,48,29,22,8,20,10,7
2020-11,23,121,83,337,81,221,142,86,28,25,3,31,6,4
2020-12,16,129,79,330,86,166,81,66,14,23,6,20,3,5
2021-01,8,91,66,398,79,169,43,55,23,33,8,19,4,3
2021-02,7,74,68,294,60,176,66,74,33,18,4,16,4,1
2021-03,10,93,76,384,92,233,96,78,46,12,5,24,3,4
