Month,Violence and sexual offences,Anti-social behaviour,Public order,Criminal damage and arson,Other theft,Burglary,Vehicle crime,Shoplifting,Drugs,Other crime,Bicycle theft,Robbery,Theft from the person,Possession of weapons
2020-03,150403,111935,33695,41703,32932,26283,32539,22830,14526,8696,4767,5793,6819,3523
2020-04,128058,227899,30544,31567,21678,19372,21816,12687,16789,7712,4225,2976,1951,3072
2020-05,145371,230889,37494,35248,24595,18870,21863,14249,21021,8721,5920,3680,2111,3639
2020-06,159170,181146,40793,39189,27194,20142,24279,16444,18035,9190,7469,4420,2889,3590
2020-07,176113,158513,45373,44410,31621,22246,27049,20844,17506,9434,8416,5416,4368,4019
2020-08,175988,161845,45865,45365,32782,22548,27482,21207,14700,8656,8526,5847,5122,3843
2020-09,166094,139484,42034,42558,32125,22712,29730,21806,14937,9031,9056,5792,5377,3815
2020-10,159422,147806,37954,42285,31357,24240,31864,22507,16619,8886,7969,5655,5716,3756
2020-11,150108,139945,34348,40459,27433,23281,30097,19672,17490,8881,6129,5181,4544,3612
2020-12,149230,122696,32263,37149,27645,21378,25565,18067,15759,8049,4256,4711,5375,3115
2021-01,141460,141431,28893,32903,23948,19539,24631,16076,15804,7944,3222,3793,3012,2830
2021-02,135133,132186,29678,32365,23240,18038,24383,16545,16152,7975,3460,3638,2904,2791
2021-03,166714,151143,41248,40217,27612,19810,26988,19223,17522,9860,5163,4243,3918,3478
